Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Ratio,Code Size,Gen 0,Gen 1,Gen 2,Allocated
PlainStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,34.241 ns,0.1571 ns,0.1311 ns,1.00,58 B,0.0019,0.0000,0.0000,32 B
EquatableStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32.694 ns,0.2103 ns,0.1967 ns,0.95,58 B,0.0019,0.0000,0.0000,32 B
HashStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.004 ns,0.0307 ns,0.0257 ns,0.06,49 B,0.0000,0.0000,0.0000,0 B
HashEquatableStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.980 ns,0.0135 ns,0.0126 ns,0.06,49 B,0.0000,0.0000,0.0000,0 B
ValueTuple_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4.230 ns,0.0704 ns,0.0588 ns,0.12,145 B,0.0000,0.0000,0.0000,0 B
RecordStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.835 ns,0.0128 ns,0.0120 ns,0.08,58 B,0.0000,0.0000,0.0000,0 B
HashEquatableRecordStruct_GetHashCode,Job-GIPAIU,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,netcoreapp50,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.992 ns,0.0042 ns,0.0035 ns,0.06,49 B,0.0000,0.0000,0.0000,0 B
